consumer_iso3c,scenario,change_in_stock,live_weight_t,pct_change
TCD,ssp126,576.7253831228012,622.338482368218,-7.329307207846582
TCD,ssp585,544.1040182673282,622.338482368218,-12.571047157999935
TGO,ssp126,11440.519801417342,11840.599739694442,-3.3788823798837795
TGO,ssp585,11168.721970216817,11840.599739694442,-5.674355896223918
THA,ssp126,349652.0685229923,343091.51243176346,1.9121883968300324
THA,ssp585,349900.4553215941,343091.51243176346,1.9845850576629562
TJK,ssp126,991.5350068153205,840.8488182669282,17.92072311631135
TJK,ssp585,985.3095145805065,840.8488182669282,17.18034124271304
TKM,ssp126,67.57133266929786,64.81582961898982,4.251281001116316
TKM,ssp585,66.6536528033156,64.81582961898982,2.83545423259895
TLS,ssp126,1821.773584603899,1886.2431831395827,-3.4178837125537735
TLS,ssp585,1834.7197246965325,1886.2431831395827,-2.7315384836694983
TON,ssp126,718.5081563621436,700.1372407427338,2.623902079529615
TON,ssp585,715.7188891961698,700.1372407427338,2.225513448892737
TTO,ssp126,5548.188965620078,4400.228951508267,26.0886428129683
TTO,ssp585,5553.552960618967,4400.228951508267,26.21054544708123
TUN,ssp126,96113.1302322497,93763.27872348698,2.5061533051681897
TUN,ssp585,95546.87576689126,93763.27872348698,1.9022340810672884
TUR,ssp126,643645.4356557305,647856.1478018116,-0.6499455412081923
TUR,ssp585,643623.9325343899,647856.1478018116,-0.6532646609562426
TUV,ssp126,87.66870388457605,83.65879752611193,4.793167577160708
TUV,ssp585,89.8572158615058,83.65879752611193,7.409164987650213
TWN,ssp126,234917.69011564174,240683.6453635822,-2.39565727003606
TWN,ssp585,234178.9985773877,240683.6453635822,-2.702571159900969
TZA,ssp126,8141.178145938015,7399.0073985350755,10.030679892952692
TZA,ssp585,8388.068553962472,7399.0073985350755,13.367484341524245
UGA,ssp126,335.55825062317604,316.52455892196133,6.013338037983788
UGA,ssp585,339.0736787196424,316.52455892196133,7.123971635717688
UKR,ssp126,200122.63004052723,195289.94656617372,2.474619692066927
UKR,ssp585,200500.1707730468,195289.94656617372,2.667942870836719
URY,ssp126,2536.880438133861,2500.392869453932,1.4592734256156226
URY,ssp585,2567.5108447992507,2500.392869453932,2.684297182465449
USA,ssp126,549801.2184426858,523030.37025701534,5.1184117993980625
USA,ssp585,554637.6533606305,523030.37025701534,6.043106653268232
UZB,ssp126,748.5011755054237,698.0400325810318,7.22897549841228
UZB,ssp585,741.434495734405,698.0400325810318,6.2166152552770315
VCT,ssp126,153.45069098334625,107.12297047619806,43.24723287751049
VCT,ssp585,154.99480524750828,107.12297047619806,44.68867373496424
VEN,ssp126,5154.089273999858,4977.711985403382,3.5433405772307482
VEN,ssp585,5142.817484218249,4977.711985403382,3.3168953788210667
VNM,ssp126,851930.1472070559,942538.8478571797,-9.613259003182588
VNM,ssp585,864909.826024316,942538.8478571797,-8.23616151306122
VUT,ssp126,1044.3668104847056,1028.92824680822,1.5004509521802731
VUT,ssp585,1040.5056633830654,1028.92824680822,1.1251918305051083
WSM,ssp126,4996.936067045998,4962.943412619079,0.6849293171565778
WSM,ssp585,5000.511194181079,4962.943412619079,0.7569657446925158
YEM,ssp126,11583.663692761496,11355.403443015237,2.010146542936468
YEM,ssp585,11575.614311578074,11355.403443015237,1.9392606318914194
ZAF,ssp126,63559.038811334845,59630.423473821946,6.5882734158974765
ZAF,ssp585,62676.49893774217,59630.423473821946,5.1082573063689045
ZMB,ssp126,3285.3835344825366,3235.6059976132906,1.5384301087945762
ZMB,ssp585,3224.4532354544544,3235.6059976132906,-0.344688511736684
ZWE,ssp126,2182.2249920465347,2064.85369201272,5.684242931488619
ZWE,ssp585,2205.203468533849,2064.85369201272,6.797080929463963
